matrix_key,kappa,floor_h,usable_voters,B_size,cell_slack_float,supports,certificate_type,committee,deficit_voter,singleton_margin,worst_price_margin,certificate_detail
15167389134458,3,1 1 2 2 2 2 2 2,1 2 3 4 5 6 7 8,8,0.0909090909091,1357 | 1468 | 23456 | 23478 | 25678 | 345678,fixed coalitionwise price-saturation,2 4 6,5,1/12,1/3,83 coalition domains; 7 x-vertices; 6 base dual vertices
15219831282876,3,1 2 2 1 1 1 1 1,1 2 3 4 5 6 7,7,0.0769230769231,126 | 137 | 2348 | 2358 | 23678 | 45678,fixed coalitionwise price-saturation,1 3 4,7,1/12,1/3,119 coalition domains; 7 x-vertices; 3 base dual vertices
15219847498808,3,1 2 2 1 1 1 1 1,1 2 3 4 5 6 7,7,0.0769230769231,124 | 135 | 2345 | 2368 | 2378 | 45678,fixed coalitionwise price-saturation,1 4 6,3,1/48,1/4,110 coalition domains; 7 x-vertices; 4 base dual vertices
15219983854968,3,1 2 2 2 2 1 2 1,1 2 3 4 5 6 7 8,8,0.0909090909091,1247 | 1356 | 23457 | 23458 | 23678 | 45678,fixed coalitionwise price-saturation,1 2 3,8,1/12,1/4,107 coalition domains; 9 x-vertices; 6 base dual vertices
22641705172280,3,1 1 2 2 1 2 1 1,1 2 3 4 6 7 8,7,0.0769230769231,126 | 3456 | 1347 | 2348 | 35678 | 45678,fixed coalitionwise price-saturation,1 2 3,8,1/8,1/7,107 coalition domains; 7 x-vertices; 4 base dual vertices
23876289130042,3,1 2 1 1 2 2 1 1,1 2 3 4 5 6 7,7,0.0769230769231,124 | 2568 | 1356 | 23578 | 23678 | 45678,fixed coalitionwise price-saturation,1 2 5,5,1/8,1/3,59 coalition domains; 7 x-vertices; 3 base dual vertices
27095296560440,3,1 1 1 2 1 1 1 1,1 2 3 4 5 6 7 8,8,0.0833333333333,45 | 123 | 1467 | 2468 | 3478 | 5678,fixed coalitionwise price-saturation,1 2 6,4,1/40,3/10,88 coalition domains; 10 x-vertices; 3 base dual vertices
27107380116792,3,1 1 2 2 0 2 1 1,1 2 3 4 6 7 8,7,0.0769230769231,346 | 126 | 1347 | 2348 | 35678 | 45678,fixed coalitionwise price-saturation,1 2 3,8,1/8,1/3,85 coalition domains; 7 x-vertices; 3 base dual vertices
27582962523316,3,1 1 1 0 2 2 1 1,1 2 3 5 6 7 8,7,0.0769230769231,256 | 157 | 168 | 3456 | 2378 | 45678,fixed coalitionwise price-saturation,1 2 4,8,1/12,1/4,121 coalition domains; 7 x-vertices; 3 base dual vertices
27584905788272,3,1 1 1 1 0 2 2 1,1 2 3 4 6 7 8,7,0.0769230769231,267 | 136 | 147 | 3467 | 2348 | 5678,fixed coalitionwise price-saturation,2 5 6,7,1/48,1/4,117 coalition domains; 7 x-vertices; 4 base dual vertices
28206739439164,3,1 1 2 1 2 2 1 1,1 2 3 4 5 6 7,7,0.0769230769231,356 | 1256 | 1348 | 23578 | 23678 | 45678,fixed coalitionwise price-saturation,1 2 3,7,1/8,1/3,71 coalition domains; 7 x-vertices; 3 base dual vertices
